tweet_id	tweet_text	class_label	text_length
1221949644554587904	وأي خيانة أكبر من خيانة الدين , الوطن , الهوية , العقيدة , التاريخ .. عليسة المرأة والتي لا تمتلك مما فات شيئا قالت النار ولا العار يا أمة المليار .. #صفقة_القرن #القدس_عاصمة_فلسطين_الأبدية	No	193
1222030473385345024	صباح الخير على فلسطين وقدسها وشعبها ومهجرينها في المخيمات وأسراها ومبعديها ، صباح الخير لكل من يحمل في قلبه حبها وانتمائها   #القدس_عاصمة_فلسطين_الأبديه #تسقط_صفقة_الوهم	No	194
1222035929105338368	ذنبگ أنگ جميله گ يوسف وخانگ العالم گ أاخواته   صباحكم فلسطيني صباح الوطن الجميل #صفقة_القرن_لن_تمر	No	122
1222048121145962496	لا يلزمك ان تكون فلسطينياً لتحب فلسطين، حُبها لارف جنسية أو هوية.. حُبها يكون بالفطرة.. شيء يشبه حُبنا لأمهاتنا بلا تفكير!   #صباح_الخير   #القدس_عاصمة_فلسطين_الأبدية  	No	201
1222053294266372096	#مناصرون رحل البروفسور زيك فريد فوغل . رئيس قسم جراحة الأعصاب في مستشفى مايو كلينك - برلين. من أفضل ٥ جراحين الأعصاب على مستوى العالم . عمل ٤٥٠ عمليه سرطان دماغ في فلسطين ، والاف عمليات العمود الفقري وهو يلفظ انفاسه قال قولوا للفلسطينيين سوف تنتصرون." #صفقة_القرن_لن_تمر	No	294
1222060764216938496	#صفقة_القرن يستخدمها ترمب لحماية نفسه من العزل والبقاء في الحكم، ويستغلها #نتنياهو للهروب من شبح السجن رغم علمه بصعوبة تنفيذها.. والعرب كالعادة في سبات عميق #صفقة_القرن_لن_تمر	No	175
1222084357244014336	لن نتخلى عن فلسطين  ولا عن شعب فلسطين ولا عن مقدسات الأمة في فلسطين  #صفقة_القرن_لن_تمر #فلسطين_عربية #حزب_الله	No	137
1222099768735870720	ملوا صفقات قرن ولا ماملوا القدس لنا وحسبي الله ونعم الوكيل فيهم حكام العرب #القدس_عاصمة_فلسطين_الأبدية  	No	110
1222102265101799424	يـا قدسُ وردُ الشـوقِ بـاح وشدّنـي       وطـمعْتُ فـي نـيل الغرام فصدّنـي ..  #القدس_عاصمة_فلسطين_الأبدية #القدس #المسجد_الأقصى	No	154
1222103938033487872	خطة #ترمب للتسوية، المعروفة بـ #صفقة_القرن، ليست سوى نتيجة لسلسلة من التنازلات عن حقوق الفلسطينيين والأمة قدّمتها القيادات الفلسطينية والأنظمة العربية. الشعوب ما زالت مغيّبة، ولن يطول الزمن حتى تقول كلمتها، فترمي كل الصفقات و "المبادرات" في سلّة مهملات التاريخ. #صفقة_القرن_لن_تمر	No	304
1222107505121275904	معيب ان تتنصل الانطمة العربية من مسؤولية الدفاع عن فلسطين امام سمسار يرى فلسطين كعقار يمكن تسله! صمت الأنظمة العربية هو نتيجة طلية لبؤسها وانفصالها عن الواقع #صفقة_القرن #صفقة_القرن_لن_تمر	No	192
1222113832644022272	الغضبُ الساطعُ آتٍ وأنا كلّي إيمانْ! #صفقة_القرن_لن_تمر	No	79
1222114234621943808	هذه الأرض لا تتسع لهويّتين، إما نحن أو نحن! #صفقة_القرن #صفقة_القرن_لن_تمر	No	98
1222114809891696640	  شاهد صفقة القرن.... لن تمر #صفقة_القرن_لن_تمر	No	71
1222140851696082688	كيف ل #صفقة_القرن أن تمر ونحن نصرخ مع أسلافنا من كل ساحات الأمّة بملء حناجرنا أنّ فلسطين الحرّة عربية والتحرير آت والخيار دوماً مقاومة! #صفقة_القرن_لن_تمر #صفقة_الذل #صفعة_القرن	No	177
1222145798579924736	سيأتي ومعه جيش من الشهداء #القدس_عاصمة_فلسطين_الأبدية	No	77
1222148977421844480	اللهم وحد شعب فلسطين في مواجهة صفقة القرن، واجعل صموده وثباته وتضحياته صخرة تتحطم عليها كل المؤامرات! #صفقة_القرن_لن_تمر	No	120
1222160439850733568	أمام صفقة ترامب لا قيمة للخطب والبيانات إذا لم تترجم إلى مواقف عملية ويتم تفعيل العمل العسكري والانتفاضة داخل فلسطين بالدرجة الأولى مسنودة بوحدة وطنية فلسطينية ساعتها سنقول: #صفقة_القرن_لن_تمر	No	192
1222165954739589120	يا قدسنا إسمعيني حبّك جاري في شراييني  #القدس_عاصمة_فلسطين_الأبدية	No	91
1222175315935612928	كان اسمها فلسطين اليوم اسمها فلسطين سيبقى اسمها فلسطين #صفقة_القرن_لن_تمر #صفقة_العار #فلسطين   	No	98
1222175995127586816	التغريدات الرافضة لصفقة القرن تجتاح مواقع التواصل الاجتماعي "سنعود وسنبقى نحمي أسوارنا وقلاعنا، ليس منا من يب أو يفرّط وليس فينا من يجبن أو ينكسر"، واحدة من الكثير من التغريدات التي اجتاحت مواقع التواصل الاجتماعي رفضاً لصفقة القرن #سرقة_القرن #صفقة_القرن_لن_تمر	No	287
1222183002631016448	عم ببو القدس بمكة ! #القدس_عاصمة_فلسطين_الأبدية #القدس_لنا أطهر أرض أنجس شعب !	No	82
1222188504156966912	صفقة القرن ستكون المفتاح لبدايه النهاية الاسرائيلي وجود القوات الاميركيه في الشرق الاوسط. بمختصر : بداية الانتقام لدماء شهدائنا القادة وغباء ترامب اعطى محور المقاومه المفتاح الاساسي. #صفقة_القرن_لن_تمر من دون الصلاه في القدس كما قال الامين الموئتمن سنصلي في القدس #صفقة_القرن	No	275
1222189160103964672	دي خريطه فلسطين الاصليه علموا اولادكم أن لاتوجد دوله اسمها إسرائيل #لا_لبصقة_القرن #القدس_عاصمة_فلسطين_الأبدية	No	134
1222197195207847936	فلسطين لنا ولن تكون يوما لغيرنا  طالما مازالت هناك أمة اسلامية لم ولن تتخلى عن الأقصى  الخزي والعار لكل حكام أمتنا وعلى مر التاريخ وتبا لهم اينما كانوا واينما وجدوا  #لااعتراف_بكيان_محتل #لا_لبصقة_القرن #القدس_عاصمة_فلسطين_الأبدية	No	285
1222199600263651328	عذرا يا رسول الله فقد فرطنا في اولى القبلتين و ثالث الحرمين لك الله يا قدس، لك الله يا قدس، لك الله يا قدس   و لعنة الله عليكم يا حكام امتنا   #القدس_عاصمة_فلسطين_الأبدية #لااعتراف_بكيان_محتل #لا_لبصقة_القرن	No	233
1222203656935825408	الراس عالي ولا نبالي #تسقط_صفقاتكم #القدس_عاصمة_فلسطين_الأبديه	No	86
1222204223808589824	فلتسقط صفقة العار #القدس_عاصمة_فلسطين_الأبدية لازم يرجع تراند هيدا الهاشتاغ	No	75
1222204288191037440	فلسطين عربيه من البحر للنهر  #تسقط_صفقاتكم #القدس_عاصمة_فلسطين_الأبدية	No	97
