tweet_id	tweet_text	class_label	hashtags	mentions	text_length	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
37436	He's been a professor for a long time at a great school.	No	[]	[]	positive	11-20	0	0	0.0	0
37440	There's no way they would give it up.	No	[]	[]	negative	0-10	0	0	0.0	0
37463	They're able to charge women more for the same exact procedure a man gets.	Yes	[]	[]	positive	11-20	1	0	0.0	0
37470	As far as a say is concerned, the people already had their say.	No	[]	[]	neutral	11-20	0	0	0.0	0
37504	I am the Democratic Party right now.	No	[]	[]	positive	0-10	0	0	0.0	0
37510	There's seven million people that contracted COVID.	Yes	[]	[]	negative	0-10	1	0	0.0	0
37513	So don't tell me about this.	No	[]	[]	negative	0-10	0	0	0.0	0
37514	I'm happy to talk about this.	No	[]	[]	extremely_positive	0-10	0	0	0.0	0
37519	You would have been much later, Joe, much later.	No	[]	[]	negative	0-10	0	0	0.0	0
37528	And so the election is all-	No	[]	[]	negative	0-10	0	0	0.0	0
37531	Why is it on the ballot?	No	[]	[]	negative	0-10	0	0	0.0	0
37571	And we will protect people.	No	[]	[]	negative	0-10	0	0	0.0	0
37589	I'll give you an example.	No	[]	[]	negative	0-10	0	0	0.0	0
37593	Take a at all of the drugs that what we're doing.	No	[]	[]	negative	11-20	0	0	0.0	0
37623	On Super Tuesday, you got very lucky.	No	[]	[]	positive	0-10	0	0	0.0	0
37628	And tonight I'm going to make sure.	No	[]	[]	positive	0-10	0	0	0.0	0
37630	Because here's the deal, here's the deal.	No	[]	[]	negative	0-10	0	0	0.0	0
37631	The fact is that everything he's saying so far is simply a lie.	Yes	[]	[]	neutral	11-20	1	0	0.0	0
37643	The wrong guy, the wrong night, at the wrong time.	No	[]	[]	very_negative	0-10	0	0	0.0	0
37651	You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan , they call it socialized medicine.	Yes	[]	[]	neutral	21-30	1	0	0.0	0
37664	He has never offered a plan.	Yes	[]	[]	negative	0-10	1	0	0.0	0
37672	We took away the individual mandate.	Yes	[]	[]	negative	0-10	1	0	0.0	0
37673	We guaranteed pre-existing conditions, but took away the individual mandate.	Yes	[]	[]	negative	0-10	1	0	0.0	0
37677	If I run it badly, they'll probably blame him, but they'll blame me.	No	[]	[]	very_negative	11-20	0	0	0.0	0
37678	But more importantly, I want to help people.	No	[]	[]	positive	0-10	0	0	0.0	0
37685	So we do want to get rid of it.	No	[]	[]	negative	0-10	0	0	0.0	0
37702	And the fact is this man doesn't know what he's talking about.	No	[]	[]	negative	11-20	0	0	0.0	0
37710	Whatever position I take on that'll become the issue.	No	[]	[]	negative	0-10	0	0	0.0	0
37711	The issue is the American people should speak.	No	[]	[]	negative	0-10	0	0	0.0	0
37722	You want to put a lot of new Supreme Court Justices.	No	[]	[]	neutral	11-20	0	0	0.0	0
37724	Will you shut up, man?	No	[]	[]	negative	0-10	0	0	0.0	0
37725	Who is on your list, Joe?	No	[]	[]	negative	0-10	0	0	0.0	0
37749	We, in fact, have 4% of the world's population, 20% of the deaths.	Yes	[]	[]	negative	11-20	1	0	0.0	0
37750	40000 people a day are contracting COVID.	Yes	[]	[]	negative	0-10	1	0	0.0	0
37753	It is what it is because you are who you are.	No	[]	[]	negative	11-20	0	0	0.0	0
37764	In addition to that, what did he do?	No	[]	[]	negative	0-10	0	0	0.0	0
37770	And what did he do then?	No	[]	[]	negative	0-10	0	0	0.0	0
37777	I laid out back in March, exactly what we should be doing.	No	[]	[]	neutral	11-20	0	0	0.0	0
37778	And I laid out again in July, what we should be doing.	No	[]	[]	negative	11-20	0	0	0.0	0
37779	We should be providing all the protective gear possible.	No	[]	[]	negative	0-10	0	0	0.0	0
37802	Many of your Democrat Governors said, President Trump did a phenomenal job.	Yes	[]	[]	positive	11-20	1	0	0.0	0
37816	Far fewer people are dying.	Yes	[]	[]	neutral	0-10	1	0	0.0	0
37817	We've done a great job.	No	[]	[]	extremely_positive	0-10	0	0	0.0	0
37824	But I'll tell you, Joe, you could never have done the job that we did.	No	[]	[]	negative	11-20	0	0	0.0	0
37839	How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID?	No	[]	[]	neutral	21-30	0	0	0.0	0
37840	How many of you are in a situation where you lost your mom or dad and you couldn't even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?	No	[]	[]	positive	31-40	0	0	0.0	0
37875	It could also be after that.	No	[]	[]	negative	0-10	0	0	0.0	0
37903	No more than the question you just asked him.	No	[]	[]	very_negative	0-10	0	0	0.0	0
37916	They're the people... And by the way-	No	[]	[]	negative	0-10	0	0	0.0	0
37929	Did you use the word smart?	No	[]	[]	neutral	0-10	0	0	0.0	0
37945	I forward to talking about it.	No	[]	[]	negative	0-10	0	0	0.0	0
37956	Tell that to Nancy Pelosi.	No	[]	[]	negative	0-10	0	0	0.0	0
37962	He sits in his golf course.	No	[]	[]	negative	0-10	0	0	0.0	0
37971	He wants to shut down the country.	Yes	[]	[]	neutral	0-10	1	0	0.0	0
37978	More people will be hurt by continuing.	No	[]	[]	positive	0-10	0	0	0.0	0
37989	I got to respond to that.	No	[]	[]	negative	0-10	0	0	0.0	0
37994	No, I think masks are okay.	No	[]	[]	positive	0-10	0	0	0.0	0
38023	Dr. Fauci said the opposite.	Yes	[]	[]	negative	0-10	1	0	0.0	0
38075	He's been totally irresponsible the way in which he has handled the social distancing and people wearing masks, basically encouraged them not to.	Yes	[]	[]	neutral	21-30	1	0	0.0	0
38077	If you could get the crowds, you would have done the same thing.	No	[]	[]	negative	11-20	0	0	0.0	0
38099	One person is too much.	No	[]	[]	neutral	0-10	0	0	0.0	0
38121	And you at what's going on with divorce, at what's going on with alcoholism and drugs.	No	[]	[]	negative	11-20	0	0	0.0	0
38135	This guy paid a total of 750 dollars in taxes.	Yes	[]	[]	negative	0-10	1	0	0.0	0
38144	The fact is that he has in fact, worked on this in a way that he's going to be the first president of the United States to leave office, having fewer jobs in his administration than when he became president.	Yes	[]	[]	neutral	31-40	1	0	0.0	0
38156	Because it costs a lot of money to open them safely.	Yes	[]	[]	neutral	11-20	1	0	0.0	0
38169	Excuse me, he made a statement.	No	[]	[]	negative	0-10	0	0	0.0	0
38179	They want to get back to their lives.	No	[]	[]	negative	0-10	0	0	0.0	0
38194	I paid millions of dollars in taxes, millions of dollars of income tax.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38197	I paid 38 dollars million one year, I paid 27 dollars million one year.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38220	Chris, let me just say something, that it was the tax laws.	No	[]	[]	negative	11-20	0	0	0.0	0
38221	I don't want to pay tax.	No	[]	[]	negative	0-10	0	0	0.0	0
38234	And I'm going to eliminate those tax cuts.	No	[]	[]	negative	0-10	0	0	0.0	0
38236	And make sure that we invest in the people who in fact need the help.	No	[]	[]	positive	11-20	0	0	0.0	0
38238	But why didn't you do it over the last 25 years?	No	[]	[]	negative	11-20	0	0	0.0	0
38247	We've done things that you never even thought of doing.	No	[]	[]	negative	0-10	0	0	0.0	0
38262	And under my proposal, we're going to make sure that every penny of that has to be made by a company-	No	[]	[]	positive	21-30	0	0	0.0	0
38264	By the way, I'm going to eliminate a significant number of the taxes.	No	[]	[]	positive	11-20	0	0	0.0	0
38265	I'm going to make the corporate tax 28%.	No	[]	[]	negative	0-10	0	0	0.0	0
38284	They had the slowest economic recovery since 1929.	Yes	[]	[]	neutral	0-10	1	0	0.0	0
38291	If you got in, if you ever became president with your ideas, you want to terminate my taxes.	No	[]	[]	negative	11-20	0	0	0.0	0
38294	And plenty of companies that are already here, they'll leave for other places.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38310	Manufacturing went in a hole-	Yes	[]	[]	negative	0-10	1	0	0.0	0
38322	I brought back 700000 jobs.	Yes	[]	[]	negative	0-10	1	0	0.0	0
38349	We have a higher deficit with China now than we did before.	Yes	[]	[]	neutral	11-20	1	0	0.0	0
38359	What did he do to deserve it?	No	[]	[]	negative	0-10	0	0	0.0	0
38421	Some people don't do a good job.	No	[]	[]	very_positive	0-10	0	0	0.0	0
38435	We want to talk about families and ethics.	No	[]	[]	negative	0-10	0	0	0.0	0
38510	He came out of his bunker, had the military use tear gas on them so he could walk across to a church and hold up a Bible.	Yes	[]	[]	negative	21-30	1	0	0.0	0
38511	And then what happened after that?	No	[]	[]	negative	0-10	0	0	0.0	0
38513	The general who was with him said All he ever wants to do is divide people not unite people at all.	Yes	[]	[]	neutral	21-30	1	0	0.0	0
38547	And why aren't you saying those words, Joe?	No	[]	[]	negative	0-10	0	0	0.0	0
38562	There's systemic injustice in this country, in education and work and in law enforcement and the way in which it's enforced.	Yes	[]	[]	negative	21-30	1	0	0.0	0
38568	They have to be held accountable.	No	[]	[]	negative	0-10	0	0	0.0	0
38578	When they run through the middle of the town-	No	[]	[]	negative	0-10	0	0	0.0	0
38597	If you were a certain person, you had no status in life.	No	[]	[]	neutral	11-20	0	0	0.0	0
38599	And if you at the people, we would pay people hundreds of thousands of dollars to teach very bad ideas and frankly, very sick ideas.	No	[]	[]	very_negative	21-30	0	0	0.0	0
38603	We have to go back to the core values of this country.	No	[]	[]	negative	11-20	0	0	0.0	0
38607	And I'm not going to allow that to happen.	No	[]	[]	negative	0-10	0	0	0.0	0
38618	People have to be made aware of what other people feel like, what insults them, what is demeaning to them.	No	[]	[]	neutral	21-30	0	0	0.0	0
38619	It's important that people know.	No	[]	[]	positive	0-10	0	0	0.0	0
38623	It's a little bit like how this guy and his friends down on so many people.	No	[]	[]	neutral	11-20	0	0	0.0	0
38630	There's nothing we cannot do, if we do it together.	No	[]	[]	negative	0-10	0	0	0.0	0
38639	What happened in Baltimore.	No	[]	[]	negative	0-10	0	0	0.0	0
38666	The places we had trouble were Democratic-run cities...	Yes	[]	[]	negative	0-10	1	0	0.0	0
38671	I think it's a party issue.	No	[]	[]	negative	0-10	0	0	0.0	0
38675	The numbers are going up a 100, 150, 200 percent, crime, it is crazy what's going on ...	Yes	[]	[]	very_negative	11-20	1	0	0.0	0
38687	I was raised in the suburbs.	No	[]	[]	negative	0-10	0	0	0.0	0
38711	That's not what it ...	No	[]	[]	negative	0-10	0	0	0.0	0
38774	And so here's the point.	No	[]	[]	negative	0-10	0	0	0.0	0
38777	Instead of going in and talking to people and saying, Let's get everybody together.	No	[]	[]	negative	11-20	0	0	0.0	0
38786	You mean, I have to answer his stuff?	No	[]	[]	very_negative	0-10	0	0	0.0	0
38798	I'll send in the National Guard, it would be over.	No	[]	[]	negative	0-10	0	0	0.0	0
38821	Proud Boys, stand back and stand by.	No	[]	[]	positive	0-10	0	0	0.0	0
38862	And we now got a 91% approval rating at the VA, our vets.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38863	We take care of our vets.	No	[]	[]	negative	0-10	0	0	0.0	0
38868	Because President Obama and him left me 128 judges to fill.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38872	You can't be a good Vice President but I want to thank you because it gives us almost, it'll probably be above that number.	No	[]	[]	positive	21-30	0	0	0.0	0
38882	With regard to being weaker, the fact is that I've gone head to head with Putin and made it clear to him we're not going to take any of his stuff.	Yes	[]	[]	neutral	31-40	1	0	0.0	0
38884	He still refuses to even say anything to Putin about the bounty on the heads of American soldiers.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38906	When we were in office there were 15% less violence in America than there is today.	Yes	[]	[]	negative	11-20	1	0	0.0	0
38913	He spent a year there.	No	[]	[]	negative	0-10	0	0	0.0	0
38920	Are you talking Hunter, are you talking about Hunter.	No	[]	[]	negative	0-10	0	0	0.0	0
38936	My son... like a lot of people.	No	[]	[]	negative	0-10	0	0	0.0	0
38961	Why did he get it?	No	[]	[]	negative	0-10	0	0	0.0	0
38979	If you at the Paris Accord, it was a disaster from our standpoint.	No	[]	[]	negative	11-20	0	0	0.0	0
38991	But I also think we have to do better management of our forests.	No	[]	[]	positive	11-20	0	0	0.0	0
38999	I was with the head of a major country, it's a forest city.	No	[]	[]	neutral	11-20	0	0	0.0	0
39002	I spoke with the Governor about it.	No	[]	[]	negative	0-10	0	0	0.0	0
39018	Now, so, and by the way, we're going to see how that turns out.	No	[]	[]	negative	11-20	0	0	0.0	0
39022	And I'm okay with electric cars too.	No	[]	[]	positive	0-10	0	0	0.0	0
39037	Making sure that we can do that, we're going to put 500000 charging stations and all of the highways that we're going to be building in the future.	No	[]	[]	neutral	21-30	0	0	0.0	0
39044	And the first thing I will do, I will rejoin the Paris Accord.	No	[]	[]	neutral	11-20	0	0	0.0	0
39048	Brazil, the rainforests of Brazil are being torn down, are being ripped down.	Yes	[]	[]	negative	11-20	1	0	0.0	0
39075	That is not, that is not...	No	[]	[]	negative	0-10	0	0	0.0	0
39086	That is simply not the case...	No	[]	[]	negative	0-10	0	0	0.0	0
39105	You did say that.	Yes	[]	[]	negative	0-10	1	0	0.0	0
