	tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
0	1221949644554587904	<s><s>وأي خيانة أكبر من خيانة الدين , الوطن , الهوية , العقيدة , التاريخ ..</s><s>عليسة المرأة والتي لا تمتلك مما فات شيئا قالت النار ولا العار يا أمة المليار .. #صفقة_القرن #القدس_عاصمة_فلسطين_الأبدية</s></s>	No	189	صفقة_القرن القدس_عاصمة_فلسطين_الأبدية		100+	0	2	0.0	4
1	1222030473385345024	<s><s>صباح الخير على فلسطين وقدسها وشعبها ومهجرينها في المخيمات وأسراها ومبعديها ، صباح الخير لكل من يحمل في قلبه حبها وانتمائها   #القدس_عاصمة_فلسطين_الأبديه #تسقط_صفقة_الوهم</s></s>	No	169	القدس_عاصمة_فلسطين_الأبديه تسقط_صفقة_الوهم		100+	0	2	0.0	1
2	1222035929105338368	<s><s>ذنبگ أنگ جميله گ يوسف وخانگ العالم گ أاخواته   صباحكم فلسطيني صباح الوطن الجميل #صفقة_القرن_لن_تمر</s></s>	No	98	صفقة_القرن_لن_تمر		91-100	0	1	0.0	1
3	1222048121145962496	<s><s>لا يلزمك ان تكون فلسطينياً لتحب فلسطين، حُبها لارف جنسية أو هوية..</s><s>حُبها يكون بالفطرة..</s><s>شيء يشبه حُبنا لأمهاتنا بلا تفكير!   #صباح_الخير   #القدس_عاصمة_فلسطين_الأبدية  </s></s>	No	168	صباح_الخير القدس_عاصمة_فلسطين_الأبدية		100+	0	2	0.0	4
4	1222053294266372096	"<s><s>#</s><s>مناصرون رحل البروفسور زيك فريد فوغل .</s><s>رئيس قسم جراحة الأعصاب في مستشفى مايو كلينك - برلين.</s><s>من أفضل ٥ جراحين الأعصاب على مستوى العالم .</s><s>عمل ٤٥٠ عمليه سرطان دماغ في فلسطين ، والاف عمليات العمود الفقري وهو يلفظ انفاسه قال قولوا للفلسطينيين سوف تنتصرون."" #صفقة_القرن_لن_تمر</s></s>"	No	270	مناصرون صفقة_القرن_لن_تمر		100+	0	2	0.0	1
5	1222060764216938496	<s><s>#صفقة_القرن</s><s>يستخدمها ترمب لحماية نفسه من العزل والبقاء في الحكم، ويستغلها #نتنياهو للهروب من شبح السجن رغم علمه بصعوبة تنفيذها..</s><s>والعرب كالعادة في سبات عميق #صفقة_القرن_لن_تمر</s></s>	No	175	صفقة_القرن نتنياهو صفقة_القرن_لن_تمر		100+	0	3	0.0	1
6	1222084357244014336	<s><s>لن نتخلى عن فلسطين  ولا عن شعب فلسطين ولا عن مقدسات الأمة في فلسطين  #صفقة_القرن_لن_تمر #فلسطين_عربية #حزب_الله</s></s>	No	111	صفقة_القرن_لن_تمر فلسطين_عربية حزب_الله		100+	0	3	0.0	4
7	1222099768735870720	<s><s>ملوا صفقات قرن ولا ماملوا القدس لنا وحسبي الله ونعم الوكيل فيهم حكام العرب #القدس_عاصمة_فلسطين_الأبدية  </s></s>	No	104	القدس_عاصمة_فلسطين_الأبدية		100+	0	1	0.0	4
8	1222102265101799424	<s><s>يـا قدسُ وردُ الشـوقِ بـاح وشدّنـي       وطـمعْتُ فـي نـيل الغرام فصدّنـي ..  #القدس_عاصمة_فلسطين_الأبدية #القدس #المسجد_الأقصى</s></s>	No	127	القدس_عاصمة_فلسطين_الأبدية القدس المسجد_الأقصى		100+	0	3	0.0	4
9	1222103938033487872	"<s><s>خطة #ترمب للتسوية، المعروفة بـ #صفقة_القرن، ليست سوى نتيجة لسلسلة من التنازلات عن حقوق الفلسطينيين والأمة قدّمتها القيادات الفلسطينية والأنظمة العربية.</s><s>الشعوب ما زالت مغيّبة، ولن يطول الزمن حتى تقول كلمتها، فترمي كل الصفقات و ""المبادرات"" في سلّة مهملات التاريخ.</s><s>#صفقة_القرن_لن_تمر</s></s>"	No	280	ترمب صفقة_القرن صفقة_القرن_لن_تمر		100+	0	3	0.0	1
10	1222107505121275904	<s><s>معيب ان تتنصل الانطمة العربية من مسؤولية الدفاع عن فلسطين امام سمسار يرى فلسطين كعقار يمكن تسله!</s><s>صمت الأنظمة العربية هو نتيجة طلية لبؤسها وانفصالها عن الواقع #صفقة_القرن #صفقة_القرن_لن_تمر</s></s>	No	188	صفقة_القرن صفقة_القرن_لن_تمر		100+	0	2	0.0	4
