	tweet_id	tweet_text	class_label	text_length	hashtags	mentions	text_length_category	class_label_encoded	hashtags_frequency	hashtags_sentiment	hashtags_topics
0	1192517071348699136	<s>Mañana viernes no puedes perderte el gran acto de cierre campaña en Madrid.</s><s>A las 19.00 h Pabellón 1 IFEMA (Madrid).</s><s>Con Kiko Veneno y O'Funk'illo concierto la intervención @<USER> ... ¡Te esperamos!</s>	No	45	[]	['@Pablo_Iglesias_,', '@AdaColau,', '@Irene_Montero_,', '@agarzon...']	41-50	0	0	0.0	0
1	1220987059701190656	"<s>DIRECTO Reyes Maroto: ""Si nos centramos en las sinergias la legislatura al menos parte del gobierno va a funcionar muy bien.</s><s>Además los ministros y ministras llevamos bien""</s>"	No	35	[]	[]	31-40	0	0	0.0	4
2	1226786513226280961	"<s>@<USER> diputado : ""Que los partidos catalanes nacionalistas encuentren un Mínimo Común Denominador es difícil.</s><s>Sobre todo si se intentan sembrar la discordia y represión provoca adelanto electoral.</s><s>""</s>"	No	34	[]	['@JonInarritu', '@EHBilduCongreso', '@JonInarritu,', '@EHBilduCongreso:']	31-40	0	0	0.0	1
3	1217566329823252481	<s>@<USER> vuelve a quedar en evidencia.</s><s>Desplaza al minuto 18 la denuncia del #CGPJ ante las críticas de Iglesias y habla diferencias.</s><s>Exigimos responsable edición telediario explicaciones Sánchez que deje utilizar su antojo</s>	Yes	43	['#CGPJ']	['@tve_tve', '@rtve', '@Enric_Hernandez']	41-50	1	1	0.0	3
4	1172059020095610881	<s>El nuevo curso escolar en #Andalucía comienza con... mayor presupuesto de su historia 750 nuevos profesores más que nunca 3.000 funcionarios antes eran interinos Son hechos: la oposición miente cuando dice estamos desmantelando educación pública.</s>	Yes	42	['#Andalucía']	[]	41-50	1	1	0.0	0
5	1226461787635245056	"<s>Pernando Barrena: ""En 2021 pueden abrirse escenarios realmente muy complicados"" @<USER></s>"	No	12	[]	['@ehbildu']	11-20	0	0	0.0	1
6	1218228024249896966	<s>El #PINParental no solo me parece polémico sino de auténtico sentido común.</s><s>Impecable aquí @<USER> explicando el concepto en un minuto</s>	No	23	['#PINParental']	['@ivanedlm']	21-30	0	1	0.0	4
7	1219218559534059523	<s>DIRECTO| @<USER> presidente de anuncia la iniciativa parlamentaria para ilegalizar a partidos que pongan en peligro Constitución y unidad España #ESP20E</s>	No	28	['#ESP20E']	['@Santi_ABASCAL,', '@vox_es,']	21-30	0	1	0.0	1
8	1217829210808557569	<s>Muy bien explicado lo del pin rojo por @<USER></s><s>Algunos llevamos años usándolo como símbolo antifascista y seguiremos haciéndolo.</s>	No	21	[]	['@MonederoJC']	21-30	0	0	0.0	1
9	1226480356955693056	<s>El PP se equivoca total y completamente excluyendo a VOX en las mesas del Congreso.</s><s>hizo lo mismo la Asamblea de Madrid pactando con PSOE Cs Más Podemos contra VOX.</s><s>Que el no eche culpa al porque C. también prefirió izquierda.</s>	Yes	56	[]	[]	51-60	1	0	0.0	0
10	1259920819834191872	<s>Si algo define a @<USER> es que siempre está ahí cuando más se le necesita.</s><s>#CRUZROJARESPONDE ha movilizado de 40.000 voluntarios durante el Covid19.</s><s>Hoy hemos ido su sede darles las gracias junto SM La Reina quien agradezco preocupación por Madrid.</s>	Yes	49	['#CRUZROJARESPONDE']	['@CruzRojaEsp']	41-50	1	1	0.0	0
11	1166286413777780736	<s>El funeral por el #gudari José Moreno se celebrará mañana miércoles a las 19:00 horas en la iglesia Santa María de Portugalete.</s>	No	23	['#gudari']	[]	21-30	0	1	0.0	0
12	1226086367710580737	<s>Hoy @<USER> se ha unido a PSOE PODEMOS y ERC.</s><s>Este pacto parece hecho en la Cárcel de Lledoners.</s><s>Es una conjura contra Sanidad ya que el PP pactado con aquellos quieren desmembrarla destrozar MIR.</s><s>es única verdadera alternativa.</s>	Yes	49	[]	['@populares', '@vox_es']	41-50	1	0	0.0	1
13	1174075842445623297	<s>?</s><s>A partir de las 22:35h @<USER> entrevistará en a la portavoz el Congreso #EleccionesNoviembre2019 Escúchala aquí</s>	No	25	['#EleccionesNoviembre2019']	['@adelgadoRne', '@24horas_rne', '@JuntsXCat', '@LauraBorras']	21-30	0	1	0.0	0
14	1219901185437708288	"<s>¡La educación no es un arma política! @<USER> ""El PSOE maestro de la demagogia cuando hay que hablar financiación y Pacto Nacional por Educación intentan desviar atención"" #LosDesayunos</s>"	No	38	['#LosDesayunos']	['@JuanMarin_Cs']	31-40	0	1	0.0	1
15	1220064147389337600	<s>Llegamos al Gobierno para mejorar la vida de gente.</s><s>En su segunda semana el coalición ha pactado con patronal y sindicatos subida del SMI en 14 meses.</s><s>Estamos cumpliendo.</s><s>#SMI950.</s><s>Sí se puede.</s>	No	39	['#SMI950.']	[]	31-40	0	1	0.0	3
